"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth14 --nocolor --output ./results/upgrade/100-from-vpn-fw.csv",,,,"Date:","27 Jul 2017 00:04:50 UTC"

"net/dc2.s1-eth14",,"system"
"recv","send","time"
0.0,0.0,27-07 00:04:50
0.0,806970.0,27-07 00:04:51
0.0,1310054.0,27-07 00:04:52
0.0,1311508.0,27-07 00:04:53
0.0,1311508.0,27-07 00:04:54
0.0,1310054.0,27-07 00:04:55
0.0,1311508.0,27-07 00:04:56
0.0,1311508.0,27-07 00:04:57
0.0,1310054.0,27-07 00:04:58
0.0,1311508.0,27-07 00:04:59
0.0,1311508.0,27-07 00:05:00
0.0,1310054.0,27-07 00:05:01
0.0,1311508.0,27-07 00:05:02
0.0,1310054.0,27-07 00:05:03
0.0,1311508.0,27-07 00:05:04
0.0,1311508.0,27-07 00:05:05
0.0,1311508.0,27-07 00:05:06
0.0,1310054.0,27-07 00:05:07
0.0,1276612.0,27-07 00:05:08
0.0,894210.0,27-07 00:05:09
0.0,1310054.0,27-07 00:05:10
0.0,1311508.0,27-07 00:05:11
0.0,1311508.0,27-07 00:05:12
0.0,1310054.0,27-07 00:05:13
0.0,1311508.0,27-07 00:05:14
0.0,1310054.0,27-07 00:05:15
0.0,1311508.0,27-07 00:05:16
0.0,1311508.0,27-07 00:05:17
0.0,1310054.0,27-07 00:05:18
0.0,1311508.0,27-07 00:05:19
0.0,1311508.0,27-07 00:05:20
0.0,1310054.0,27-07 00:05:21
0.0,1311508.0,27-07 00:05:22
0.0,1311508.0,27-07 00:05:23
0.0,1310054.0,27-07 00:05:24
0.0,1311508.0,27-07 00:05:25
0.0,1311508.0,27-07 00:05:26
0.0,1310054.0,27-07 00:05:27
0.0,1311508.0,27-07 00:05:28
0.0,1311508.0,27-07 00:05:29
0.0,1310054.0,27-07 00:05:30
0.0,1311508.0,27-07 00:05:31
0.0,1311508.0,27-07 00:05:32
0.0,1310054.0,27-07 00:05:33
0.0,1311508.0,27-07 00:05:34
0.0,1311508.0,27-07 00:05:35
0.0,1310054.0,27-07 00:05:36
0.0,1311508.0,27-07 00:05:37
0.0,1311508.0,27-07 00:05:38
0.0,1310054.0,27-07 00:05:39
0.0,1311508.0,27-07 00:05:40
0.0,1311508.0,27-07 00:05:41
0.0,1310054.0,27-07 00:05:42
0.0,1311508.0,27-07 00:05:43
0.0,1311508.0,27-07 00:05:44
0.0,1310054.0,27-07 00:05:45
0.0,1311508.0,27-07 00:05:46
0.0,1311508.0,27-07 00:05:47
0.0,1310054.0,27-07 00:05:48
0.0,1311508.0,27-07 00:05:49
0.0,1311508.0,27-07 00:05:50
0.0,1310054.0,27-07 00:05:51
0.0,1311508.0,27-07 00:05:52
0.0,1311508.0,27-07 00:05:53
0.0,1310054.0,27-07 00:05:54
0.0,1311508.0,27-07 00:05:55
0.0,1311508.0,27-07 00:05:56
0.0,1310054.0,27-07 00:05:57
0.0,1311508.0,27-07 00:05:58
0.0,1311508.0,27-07 00:05:59
0.0,1310054.0,27-07 00:06:00
0.0,1311508.0,27-07 00:06:01
0.0,1311508.0,27-07 00:06:02
0.0,1310054.0,27-07 00:06:03
0.0,1311508.0,27-07 00:06:04
0.0,1311508.0,27-07 00:06:05
0.0,1310054.0,27-07 00:06:06
0.0,1311508.0,27-07 00:06:07
0.0,1311508.0,27-07 00:06:08
0.0,1310054.0,27-07 00:06:09
0.0,1311508.0,27-07 00:06:10
0.0,1311508.0,27-07 00:06:11
0.0,1310054.0,27-07 00:06:12
0.0,1311508.0,27-07 00:06:13
0.0,1310054.0,27-07 00:06:14
0.0,1311508.0,27-07 00:06:15
0.0,1311508.0,27-07 00:06:16
0.0,1310054.0,27-07 00:06:17
0.0,1311508.0,27-07 00:06:18
0.0,1311508.0,27-07 00:06:19
0.0,1310054.0,27-07 00:06:20
0.0,1311508.0,27-07 00:06:21
0.0,1311508.0,27-07 00:06:22
0.0,1311508.0,27-07 00:06:23
0.0,1310054.0,27-07 00:06:24
0.0,1311508.0,27-07 00:06:25
0.0,1310054.0,27-07 00:06:26
0.0,1311508.0,27-07 00:06:27
0.0,1311508.0,27-07 00:06:28
0.0,1310054.0,27-07 00:06:29
0.0,1311508.0,27-07 00:06:30
0.0,1311508.0,27-07 00:06:31
0.0,1310054.0,27-07 00:06:32
0.0,1311508.0,27-07 00:06:33
0.0,1311508.0,27-07 00:06:34
0.0,1310054.0,27-07 00:06:35
0.0,1311508.0,27-07 00:06:36
0.0,1311508.0,27-07 00:06:37
0.0,1310054.0,27-07 00:06:38
0.0,1311508.0,27-07 00:06:39
0.0,1311508.0,27-07 00:06:40
0.0,1310054.0,27-07 00:06:41
0.0,1311508.0,27-07 00:06:42
0.0,1311508.0,27-07 00:06:43
0.0,1310054.0,27-07 00:06:44
0.0,1311508.0,27-07 00:06:45
0.0,1311508.0,27-07 00:06:46
0.0,1310054.0,27-07 00:06:47
0.0,1311508.0,27-07 00:06:48
0.0,1311508.0,27-07 00:06:49
0.0,1310054.0,27-07 00:06:50
0.0,1311508.0,27-07 00:06:51
0.0,1311508.0,27-07 00:06:52
0.0,1310054.0,27-07 00:06:53
0.0,1311508.0,27-07 00:06:54
0.0,1311508.0,27-07 00:06:55
0.0,1310054.0,27-07 00:06:56
0.0,1311508.0,27-07 00:06:57
0.0,1311508.0,27-07 00:06:58
0.0,1310054.0,27-07 00:06:59
0.0,1311508.0,27-07 00:07:00
0.0,1311508.0,27-07 00:07:01
0.0,1310054.0,27-07 00:07:02
0.0,1311508.0,27-07 00:07:03
0.0,1311508.0,27-07 00:07:04
0.0,1310054.0,27-07 00:07:05
0.0,1311508.0,27-07 00:07:06
0.0,1311508.0,27-07 00:07:07
0.0,1310054.0,27-07 00:07:08
0.0,1311508.0,27-07 00:07:09
0.0,1311508.0,27-07 00:07:10
0.0,1310054.0,27-07 00:07:11
0.0,1311508.0,27-07 00:07:12
0.0,1310054.0,27-07 00:07:13
0.0,1311508.0,27-07 00:07:14
0.0,1311508.0,27-07 00:07:15
0.0,1310054.0,27-07 00:07:16
0.0,1311508.0,27-07 00:07:17
0.0,1311508.0,27-07 00:07:18
0.0,1310054.0,27-07 00:07:19
0.0,1311508.0,27-07 00:07:20
0.0,1541564.0,27-07 00:07:21
0.0,1310054.0,27-07 00:07:22
0.0,1311508.0,27-07 00:07:23
0.0,1311508.0,27-07 00:07:24
0.0,1310054.0,27-07 00:07:25
0.0,1311508.0,27-07 00:07:26
0.0,1311508.0,27-07 00:07:27
0.0,1310054.0,27-07 00:07:28
0.0,1311508.0,27-07 00:07:29
0.0,1311508.0,27-07 00:07:30
0.0,740086.0,27-07 00:07:31
0.0,1282428.0,27-07 00:07:32
0.0,1311508.0,27-07 00:07:33
0.0,1310054.0,27-07 00:07:34
0.0,1311508.0,27-07 00:07:35
0.0,1311508.0,27-07 00:07:36
0.0,1310054.0,27-07 00:07:37
0.0,1311508.0,27-07 00:07:38
0.0,1311508.0,27-07 00:07:39
0.0,1310054.0,27-07 00:07:40
0.0,1311508.0,27-07 00:07:41
0.0,1311508.0,27-07 00:07:42
0.0,1310054.0,27-07 00:07:43
0.0,1311508.0,27-07 00:07:44
0.0,1311508.0,27-07 00:07:45
