"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth14 --nocolor --output ./results/upgrade/100-from-vpn-fw.csv",,,,"Date:","26 Jul 2017 18:33:02 UTC"

"net/dc2.s1-eth14",,"system"
"recv","send","time"
0.0,0.0,26-07 18:33:02
0.0,40712.0,26-07 18:33:03
0.0,1310054.0,26-07 18:33:04
0.0,1311508.0,26-07 18:33:05
0.0,1310054.0,26-07 18:33:06
0.0,1311508.0,26-07 18:33:07
0.0,1311508.0,26-07 18:33:08
0.0,1311508.0,26-07 18:33:09
0.0,1310054.0,26-07 18:33:10
0.0,1311508.0,26-07 18:33:11
0.0,1311508.0,26-07 18:33:12
0.0,1310054.0,26-07 18:33:13
0.0,1311508.0,26-07 18:33:14
0.0,1310054.0,26-07 18:33:15
0.0,1311508.0,26-07 18:33:16
0.0,1311508.0,26-07 18:33:17
0.0,1310054.0,26-07 18:33:18
0.0,1311508.0,26-07 18:33:19
0.0,1311508.0,26-07 18:33:20
0.0,1310054.0,26-07 18:33:21
0.0,1311508.0,26-07 18:33:22
0.0,1311508.0,26-07 18:33:23
0.0,1310054.0,26-07 18:33:24
0.0,1311508.0,26-07 18:33:25
0.0,1311508.0,26-07 18:33:26
0.0,1310054.0,26-07 18:33:27
0.0,1311508.0,26-07 18:33:28
0.0,1311508.0,26-07 18:33:29
0.0,1310054.0,26-07 18:33:30
0.0,1311508.0,26-07 18:33:31
0.0,1311508.0,26-07 18:33:32
0.0,1310054.0,26-07 18:33:33
0.0,1311508.0,26-07 18:33:34
0.0,1310054.0,26-07 18:33:35
0.0,1311508.0,26-07 18:33:36
0.0,1310054.0,26-07 18:33:37
0.0,1311508.0,26-07 18:33:38
0.0,1311508.0,26-07 18:33:39
0.0,1310054.0,26-07 18:33:40
0.0,1311508.0,26-07 18:33:41
0.0,1311508.0,26-07 18:33:42
0.0,1311508.0,26-07 18:33:43
0.0,1310054.0,26-07 18:33:44
0.0,1311508.0,26-07 18:33:45
0.0,1311508.0,26-07 18:33:46
0.0,1310054.0,26-07 18:33:47
0.0,1311508.0,26-07 18:33:48
0.0,1310054.0,26-07 18:33:49
0.0,1311508.0,26-07 18:33:50
0.0,1311508.0,26-07 18:33:51
0.0,1310054.0,26-07 18:33:52
0.0,1310054.0,26-07 18:33:53
0.0,1312962.0,26-07 18:33:54
0.0,1310054.0,26-07 18:33:55
0.0,1311508.0,26-07 18:33:56
0.0,1311508.0,26-07 18:33:57
0.0,1310054.0,26-07 18:33:58
0.0,1311508.0,26-07 18:33:59
0.0,1311508.0,26-07 18:34:00
0.0,1310054.0,26-07 18:34:01
0.0,1311508.0,26-07 18:34:02
0.0,1311508.0,26-07 18:34:03
0.0,1310054.0,26-07 18:34:04
0.0,1311508.0,26-07 18:34:05
0.0,1311508.0,26-07 18:34:06
0.0,1310054.0,26-07 18:34:07
0.0,1311508.0,26-07 18:34:08
0.0,1311508.0,26-07 18:34:09
0.0,1310054.0,26-07 18:34:10
0.0,1311508.0,26-07 18:34:11
0.0,1311508.0,26-07 18:34:12
0.0,1310054.0,26-07 18:34:13
0.0,1311508.0,26-07 18:34:14
0.0,1311508.0,26-07 18:34:15
