"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids1",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","25 Jul 2017 18:52:26 UTC"
"net/input",,"system"
"recv","send","time"
0,0,25-07 18:52:26
0,0,25-07 18:52:27
0,0,25-07 18:52:28
0,0,25-07 18:52:29
0,0,25-07 18:52:30
0,0,25-07 18:52:31
0,0,25-07 18:52:32
0,0,25-07 18:52:33
0,0,25-07 18:52:34
0,0,25-07 18:52:35
0,0,25-07 18:52:36
0,0,25-07 18:52:37
0,0,25-07 18:52:38
0,0,25-07 18:52:39
0,0,25-07 18:52:40
0,0,25-07 18:52:41
0,0,25-07 18:52:42
0,0,25-07 18:52:43
0,0,25-07 18:52:44
0,0,25-07 18:52:45
0,0,25-07 18:52:46
0,0,25-07 18:52:47
0,0,25-07 18:52:48
0,0,25-07 18:52:49
0,0,25-07 18:52:50
0,0,25-07 18:52:51
0,0,25-07 18:52:52
0,0,25-07 18:52:53
0,0,25-07 18:52:54
0,0,25-07 18:52:55
0,0,25-07 18:52:56
0,0,25-07 18:52:57
0,0,25-07 18:52:58
0,0,25-07 18:52:59
0,0,25-07 18:53:00
0,0,25-07 18:53:01
0,0,25-07 18:53:02
0,0,25-07 18:53:03
0,0,25-07 18:53:04
0,0,25-07 18:53:05
0,0,25-07 18:53:06
0,0,25-07 18:53:07
0,0,25-07 18:53:08
0,0,25-07 18:53:09
0,0,25-07 18:53:10
0,0,25-07 18:53:11
0,0,25-07 18:53:12
0,0,25-07 18:53:13
0,0,25-07 18:53:14
0,0,25-07 18:53:15
0,0,25-07 18:53:16
0,0,25-07 18:53:17
0,0,25-07 18:53:18
0,0,25-07 18:53:19
0,0,25-07 18:53:20
0,0,25-07 18:53:21
0,0,25-07 18:53:22
0,0,25-07 18:53:23
0,0,25-07 18:53:24
0,0,25-07 18:53:25
0,0,25-07 18:53:26
0,0,25-07 18:53:27
0,0,25-07 18:53:28
0,0,25-07 18:53:29
0,0,25-07 18:53:30
0,0,25-07 18:53:31
0,0,25-07 18:53:32
0,0,25-07 18:53:33
0,0,25-07 18:53:34
0,0,25-07 18:53:35
0,0,25-07 18:53:36
0,0,25-07 18:53:37
0,0,25-07 18:53:38
0,0,25-07 18:53:39
0,0,25-07 18:53:40
0,0,25-07 18:53:41
0,0,25-07 18:53:42
