"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth9 --nocolor --output ./results/scaleout/10-from-vpn-ids.csv",,,,"Date:","27 Jul 2017 00:43:50 UTC"

"net/dc2.s1-eth9",,"system"
"recv","send","time"
0.0,0.0,27-07 00:43:50
0.0,48040.0,27-07 00:43:51
0.0,89636.0,27-07 00:43:52
0.0,116396.0,27-07 00:43:53
0.0,123296.0,27-07 00:43:54
0.0,124898.0,27-07 00:43:55
0.0,120706.0,27-07 00:43:56
0.0,125327.0,27-07 00:43:57
0.0,125130.0,27-07 00:43:58
0.0,124129.0,27-07 00:43:59
0.0,124874.0,27-07 00:44:00
0.0,123042.0,27-07 00:44:01
0.0,117978.0,27-07 00:44:02
0.0,122322.0,27-07 00:44:03
42.0,125016.0,27-07 00:44:04
0.0,125110.0,27-07 00:44:05
0.0,125136.0,27-07 00:44:06
0.0,125082.0,27-07 00:44:07
0.0,123756.0,27-07 00:44:08
0.0,125102.0,27-07 00:44:09
0.0,125298.0,27-07 00:44:10
0.0,125368.0,27-07 00:44:11
0.0,124857.0,27-07 00:44:12
0.0,124336.0,27-07 00:44:13
0.0,125968.0,27-07 00:44:14
0.0,124002.0,27-07 00:44:15
0.0,125154.0,27-07 00:44:16
0.0,125088.0,27-07 00:44:17
0.0,125172.0,27-07 00:44:18
0.0,125240.0,27-07 00:44:19
0.0,125209.0,27-07 00:44:20
0.0,124390.0,27-07 00:44:21
0.0,124907.0,27-07 00:44:22
0.0,125022.0,27-07 00:44:23
0.0,125022.0,27-07 00:44:24
0.0,125550.0,27-07 00:44:25
0.0,124598.0,27-07 00:44:26
0.0,125080.0,27-07 00:44:27
0.0,123106.0,27-07 00:44:28
42.0,115481.0,27-07 00:44:29
0.0,124122.0,27-07 00:44:30
0.0,125087.0,27-07 00:44:31
0.0,124968.0,27-07 00:44:32
0.0,125324.0,27-07 00:44:33
0.0,124623.0,27-07 00:44:34
0.0,125839.0,27-07 00:44:35
0.0,124698.0,27-07 00:44:36
0.0,116280.0,27-07 00:44:37
0.0,117966.0,27-07 00:44:38
0.0,124944.0,27-07 00:44:39
0.0,124270.0,27-07 00:44:40
0.0,124932.0,27-07 00:44:41
0.0,124910.0,27-07 00:44:42
0.0,113164.0,27-07 00:44:43
0.0,122028.0,27-07 00:44:44
0.0,121808.0,27-07 00:44:45
0.0,126303.0,27-07 00:44:46
0.0,101633.0,27-07 00:44:47
0.0,123094.0,27-07 00:44:48
0.0,123378.0,27-07 00:44:49
0.0,123606.0,27-07 00:44:50
0.0,123722.0,27-07 00:44:51
0.0,123594.0,27-07 00:44:52
42.0,123972.0,27-07 00:44:53
0.0,125388.0,27-07 00:44:54
0.0,125082.0,27-07 00:44:55
0.0,125426.0,27-07 00:44:56
0.0,125218.0,27-07 00:44:57
0.0,124260.0,27-07 00:44:58
0.0,125740.0,27-07 00:44:59
0.0,125069.0,27-07 00:45:00
0.0,123927.0,27-07 00:45:01
