"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth7 --nocolor --output ./results/scaleout/10-from-ids.csv",,,,"Date:","26 Jul 2017 01:56:13 UTC"

"net/dc2.s1-eth7",,"system"
"recv","send","time"
0.0,0.0,26-07 01:56:13
0.0,57091.0,26-07 01:56:14
0.0,127805.0,26-07 01:56:15
0.0,127994.0,26-07 01:56:16
0.0,118970.0,26-07 01:56:17
0.0,130687.0,26-07 01:56:18
0.0,130175.0,26-07 01:56:19
0.0,131772.0,26-07 01:56:20
0.0,129936.0,26-07 01:56:21
0.0,131454.0,26-07 01:56:22
0.0,130413.0,26-07 01:56:23
0.0,131109.0,26-07 01:56:24
0.0,131544.0,26-07 01:56:25
42.0,130386.0,26-07 01:56:26
0.0,129897.0,26-07 01:56:27
0.0,131496.0,26-07 01:56:28
0.0,131273.0,26-07 01:56:29
0.0,129686.0,26-07 01:56:30
0.0,131082.0,26-07 01:56:31
0.0,130177.0,26-07 01:56:32
0.0,110796.0,26-07 01:56:33
0.0,131198.0,26-07 01:56:34
0.0,130634.0,26-07 01:56:35
0.0,130998.0,26-07 01:56:36
0.0,129831.0,26-07 01:56:37
0.0,130509.0,26-07 01:56:38
0.0,130770.0,26-07 01:56:39
0.0,131304.0,26-07 01:56:40
0.0,130963.0,26-07 01:56:41
0.0,130760.0,26-07 01:56:42
0.0,130297.0,26-07 01:56:43
0.0,131090.0,26-07 01:56:44
0.0,129606.0,26-07 01:56:45
0.0,130592.0,26-07 01:56:46
42.0,132006.0,26-07 01:56:47
0.0,130574.0,26-07 01:56:48
0.0,130121.0,26-07 01:56:49
0.0,79309.0,26-07 01:56:50
0.0,62400.0,26-07 01:56:51
0.0,131030.0,26-07 01:56:52
0.0,130317.0,26-07 01:56:53
0.0,129205.0,26-07 01:56:54
0.0,130525.0,26-07 01:56:55
0.0,130392.0,26-07 01:56:56
0.0,131886.0,26-07 01:56:57
0.0,130512.0,26-07 01:56:58
0.0,127060.0,26-07 01:56:59
0.0,119457.0,26-07 01:57:00
0.0,126750.0,26-07 01:57:01
0.0,130634.0,26-07 01:57:02
0.0,130746.0,26-07 01:57:03
0.0,130818.0,26-07 01:57:04
0.0,130212.0,26-07 01:57:05
0.0,131946.0,26-07 01:57:06
0.0,130272.0,26-07 01:57:07
0.0,130938.0,26-07 01:57:08
42.0,131112.0,26-07 01:57:09
0.0,130752.0,26-07 01:57:10
0.0,130710.0,26-07 01:57:11
0.0,130500.0,26-07 01:57:12
0.0,130512.0,26-07 01:57:13
0.0,130272.0,26-07 01:57:14
0.0,131946.0,26-07 01:57:15
0.0,130572.0,26-07 01:57:16
0.0,130710.0,26-07 01:57:17
0.0,130632.0,26-07 01:57:18
0.0,130272.0,26-07 01:57:19
0.0,131826.0,26-07 01:57:20
0.0,130392.0,26-07 01:57:21
0.0,130572.0,26-07 01:57:22
0.0,130272.0,26-07 01:57:23
0.0,131826.0,26-07 01:57:24
0.0,130332.0,26-07 01:57:25
0.0,130588.0,26-07 01:57:26
0.0,130414.0,26-07 01:57:27
0.0,130620.0,26-07 01:57:28
0.0,130866.0,26-07 01:57:29
42.0,131366.0,26-07 01:57:30
0.0,130212.0,26-07 01:57:31
0.0,130632.0,26-07 01:57:32
0.0,131766.0,26-07 01:57:33
0.0,130452.0,26-07 01:57:34
0.0,130332.0,26-07 01:57:35
0.0,130452.0,26-07 01:57:36
0.0,131766.0,26-07 01:57:37
0.0,130512.0,26-07 01:57:38
0.0,130272.0,26-07 01:57:39
0.0,130512.0,26-07 01:57:40
0.0,131766.0,26-07 01:57:41
0.0,130452.0,26-07 01:57:42
0.0,130272.0,26-07 01:57:43
0.0,130738.0,26-07 01:57:44
0.0,131406.0,26-07 01:57:45
0.0,130392.0,26-07 01:57:46
0.0,130632.0,26-07 01:57:47
0.0,130272.0,26-07 01:57:48
0.0,130512.0,26-07 01:57:49
0.0,131586.0,26-07 01:57:50
42.0,130512.0,26-07 01:57:51
0.0,130272.0,26-07 01:57:52
0.0,131886.0,26-07 01:57:53
0.0,130332.0,26-07 01:57:54
0.0,130776.0,26-07 01:57:55
0.0,130152.0,26-07 01:57:56
0.0,131946.0,26-07 01:57:57
0.0,130152.0,26-07 01:57:58
0.0,130572.0,26-07 01:57:59
0.0,130212.0,26-07 01:58:00
